,Model,Source,Split,Dataset,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,num_nonzero_coefs,prot_length
671,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Tenaillon2013,2,0.6181638717139626,0.479191882488959,0.6109225573871588,0.3973700973004552,0.6225151419553451,0.8078269495731479,0.7275794926312954,0.6123133255308325,92,286
672,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Tenaillon2013,3,0.6373060568596707,0.4573248920189734,0.5860495553191558,0.3942334054435333,0.6561503095038036,0.8483691180521443,0.7343174744391565,0.6415304260901766,103,286
673,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Tenaillon2013,4,0.6480933327128156,0.4546381325201422,0.5882450642601864,0.4530376653566753,0.6066571564206288,0.7637649985215763,0.7511707670005882,0.6391942708740052,118,286
674,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Tenaillon2013,5,0.5029120141092505,0.5559328464955747,0.6991898527602551,0.3968119794524724,0.6033547009936178,0.7993815033221402,0.6755869299919887,0.6163519518421967,50,286
675,ESM-2 650M,cellular,Site Split,TPK1_HUMAN_Roth2017,1,0.2810514094099999,0.6846214214990795,0.8472570566366653,0.0107171232816241,0.8117368649172837,0.9975542817384032,0.5576133784566627,0.2858595618824795,215,243
676,ESM-2 650M,cellular,Site Split,TPK1_HUMAN_Roth2017,2,0.2208181586166004,0.7318823414873031,0.8893202702276176,0.0633552328309907,0.7800123894582978,0.9361262897071196,0.4977145770076982,0.2804606027272785,145,243
677,ESM-2 650M,cellular,Site Split,TPK1_HUMAN_Roth2017,3,0.2006866588931894,0.7305458385496002,0.883530214640803,0.1235096946138376,0.7949492555604666,0.9768965268945052,0.4758386385332622,0.3932520367628621,126,243
678,ESM-2 650M,cellular,Site Split,TPK1_HUMAN_Roth2017,4,0.1806537191821732,0.7523238632808303,0.9064687260514784,0.1192688172498258,0.7702444895499327,0.9301302822495452,0.4492560758488531,0.389480717518196,110,243
679,ESM-2 650M,cellular,Site Split,TPK1_HUMAN_Roth2017,5,0.2385831750822081,0.7195953567523588,0.8789481532014173,0.0619890118356962,0.7720636831819615,0.9396360113022618,0.5177888528190994,0.2943682875562272,163,243
680,ESM-2 650M,cellular,Site Split,MK01_HUMAN_Johannessen,1,0.1544570828086781,0.6809834219496833,0.9188627274512812,0.0564759626673309,0.7213073229486922,0.9726799479421112,0.4448839548732774,0.2623063349449641,72,360
